Date,State,Positive,Negative,Pending,Hospitalized,Death,Total
20200308,AR,0,6,0,,,6
20200308,LA,0,5,,,,5
20200308,SD,0,5,0,,,5
20200308,WV,0,2,3,,,5
20200308,ME,0,1,,,,1
20200308,AL,0,,,,,0
20200308,MS,0,,,,,0
20200308,ND,0,0,,,,0
20200308,WY,0,,,,,0
20200307,WA,102,370,66,,,538
20200307,NY,76,92,236,,,404
20200307,CA,69,462,,,,531
20200307,FL,14,100,88,,,202
20200307,MA,13,,,,,13
20200307,CO,8,55,69,,,132
20200307,TX,8,,,,,8
20200307,OR,7,77,40,,,124
20200307,IL,6,191,44,,,241
20200307,GA,6,,,,,6
20200307,AZ,5,44,7,,,56
20200307,NJ,4,,1,,,5
20200307,MD,3,41,,,,44
20200307,NH,2,20,3,,,25
20200307,SC,2,8,,,,10
20200307,NC,2,,,,,2
20200307,PA,2,,,,,2
20200307,RI,2,,,,,2
20200307,MN,1,48,,,,49
20200307,WI,1,31,12,,,44
20200307,NE,1,17,5,,,23
20200307,NV,1,14,,,,15
20200307,KY,1,9,,,,10
20200307,HI,1,,,,,1
20200307,IN,1,,,,,1
20200307,OK,1,,,,,1
20200307,TN,1,,,,,1
20200307,UT,1,,,,,1
20200307,NM,0,48,0,,,48
20200307,VA,0,31,7,,,38
20200307,ID,0,27,,,,27
20200307,MI,0,18,9,,,27
20200307,IA,0,15,2,,,17
20200307,VT,0,16,,,,16
20200307,AK,0,12,2,,,14
20200307,OH,0,9,5,,,14
20200307,KS,0,11,2,,,13
20200307,MT,0,11,,,,11
20200307,DE,0,10,0,,,10
20200307,DC,0,8,1,,,9
20200307,AR,0,6,0,,,6
20200307,SD,0,5,0,,,5
20200307,WV,0,2,3,,,5
20200307,ME,0,1,,,,1
20200307,LA,0,,,,,0
20200307,MO,0,,,,,0
20200307,MS,0,,,,,0
20200307,ND,0,0,,,,0
20200307,WY,0,,,,,0
20200307,AL,0,,,,,0
20200307,CT,0,,,,,0
20200306,WA,79,370,,,,449
20200306,CA,60,462,,,,522
20200306,NY,33,92,236,,,361
20200306,FL,9,55,51,,,115
20200306,MA,8,,,,,8
20200306,IL,5,180,35,,,220
20200306,TX,5,,,,,5
20200306,AZ,3,33,15,,,51
20200306,MD,3,26,12,,,41
20200306,OR,3,64,28,,,95
20200306,CO,2,46,30,,,78
20200306,GA,2,,,,,2
20200306,NC,2,,,,,2
20200306,NH,2,20,3,,,25
20200306,PA,2,,,,,2
20200306,IN,1,,,,,1
20200306,NJ,1,,,,,1
20200306,NV,1,14,,,,15
20200306,TN,1,,,,,1
20200306,WI,1,31,12,,,44
20200306,AK,0,8,1,,,9
20200306,AR,0,6,0,,,6
20200306,DC,0,8,1,,,9
20200306,DE,0,10,0,,,10
20200306,IA,0,15,2,,,17
20200306,KS,0,4,0,,,4
20200306,KY,0,7,3,,,10
20200306,MI,0,8,8,,,16
20200306,MN,0,36,,,,36
20200306,NE,0,17,5,,,22
20200306,NM,0,16,0,,,16
20200306,OH,0,8,2,,,10
20200306,SC,0,5,0,,,5
20200306,VA,0,21,10,,,31
20200306,VT,0,8,,,,8
20200306,WV,0,1,4,,,5
20200305,WA,70,,,,,70
20200305,CA,53,462,,,,515
20200305,NY,22,76,24,,,122
20200305,FL,9,31,69,,,109
20200305,IL,5,165,27,,,197
20200305,OR,3,45,13,,,61
20200305,AZ,2,28,6,,,36
20200305,GA,2,,,,,2
20200305,MA,2,,,,,2
20200305,NH,2,16,4,,,22
20200305,NC,1,,,,,1
20200305,NJ,1,,,,,1
20200305,NV,1,14,,,,15
20200305,TN,1,,,,,1
20200305,TX,1,,,,,1
20200305,WI,1,19,6,,,26
20200305,CO,0,19,21,,,40
20200305,DC,0,6,2,,,8
20200305,MI,0,8,0,,,8
20200305,NE,0,17,5,,,22
20200305,OH,0,7,3,,,10
20200305,SC,0,5,0,,,5
20200305,VA,0,18,3,,,21
20200305,MD,0,17,14,,,31
20200304,AZ,2,27,5,,,34
20200304,CA,53,462,,,,515
20200304,FL,2,24,16,,,42
20200304,GA,2,,,,,2
20200304,IL,4,124,27,,,155
20200304,MA,2,,,,,2
20200304,NC,1,,,,,1
20200304,NH,2,10,7,,,19
20200304,NY,6,48,24,,,78
20200304,OR,3,29,18,,,50
20200304,SC,0,5,0,,,5
20200304,TX,1,,,,,1
20200304,WA,39,,,,,39
20200304,WI,1,19,6,,,26
